skuCodeRaw,rawDescription,lineItemCount,obdCount
IN61180071,WN Wanda Basecoat SB 3800 3.7L,2,2
IN61191272,WN Wanda Basecoat SB 3912 1L,2,2
IN61193072,WN Wanda Basecoat SB 3930 1L,2,2
IN70010182,DN VT PG GEN TINT 4090 BASE,2,2
IN70109471,DN GLOSS GENRIC TINT 1094 BASE 4L,2,2
IN70129081,DN SATIN STAY BRIGHT GENERIC 90 BASE 18L,2,2
IN70449781,PS WS UltraClean GENRIC TINT ROX 18L,2,2
IN70909082,DN VT PLATINUM GLO GENTINT 90 BASE 10L,2,2
IN74009023,PS WS TR E2000 White Base 1L,2,2
IN74009223,PS WS TR E2000 Intermediate Base 1L,2,2
IN84400081,PS Exterior E700 Brilliant White 20L,2,2
5379494,WN Wanda 2K Topcoat 9240 3.7L,1,1
5379495,WN Wanda 2K Topcoat 9260 3.7L,1,1
5379499,WN Wanda 2K Topcoat 9370 1L,1,1
5379500,WN Wanda 2K Topcoat 9371 1L,1,1
5379501,WN Wanda 2K Topcoat 9372 1L,1,1
5379507,WN Wanda 2K Topcoat 9540 1L,1,1
5379508,WN Wanda 2K Topcoat 9560 1L,1,1
5379509,WN Wanda 2K Topcoat 9650 3.7L,1,1
5379510,WN Wanda 2K Topcoat  9760 1L,1,1
5725197,DN Promise Sheen Exterior Generic Tint W,1,1
5725270,DN Promise Sheen Interior Generic Tint W,1,1
5758555,WAN UNIV HARD AS 1L,1,1
5825224,PS WS PU ELASTOMERIC 90 BAS GENERIC 20L,1,1
5825227,PS WS PU ELASTOMERIC 94 BAS GENERIC 20L,1,1
5825229,PS WS PU ELASTOMERIC 96 BAS GENERIC 20L,1,1
5844391,WS Prima E900 Accent Base(94) 20L,1,1
5860078,DN Promise Exterior GenTint 94 base 20L,1,1
5860310,DN Promise exterior Gen White Base 10L,1,1
5901075,WS TR E2000 92 Base 20Ltr,1,1
5907186,DN WS  Protect DP Gen tint 90base 10L,1,1
5907195,DN WS  Protect DP Gen tint 94base 4L,1,1
5907198,DN WS  Protect DP Gen tint 94base 9L,1,1
5907201,DN WS  Protect DP Gen tint 95base 20L,1,1
5907216,DN WS  Protect DP Gen tint 90base 1LTR,1,1
5907217,DN WS  Protect DP Gen tint 92base 0.9LTR,1,1
5907219,DN WS  Protect DP Gen tint 94base 0.9LTR,1,1
5912040,WS PU TR E2000 Gen tint 90 base 20L,1,1
5912043,WS PU TR E2000 Gen tint 93 base 20L,1,1
5916033,WAN EZ BC RM PREMIUM SILVER IN 1L,1,1
5918461,DN SuperClean New Gentint 90 Base 4L,1,1
5918463,DN SuperClean New Gentint 90 base 20L,1,1
5921078,DN VT ETERNA MATT 93 BASE� .925L,1,1
5955803,DN WS Max Gen 10yr 90 Base 1L,1,1
5955807,DN WS Max Gen 10yr 92 Base 1L,1,1
5955808,DN WS Max Gen 10yr 92 Base 4L,1,1
5955809,DN WS Max Gen 10yr 92 Base 10L,1,1
5955817,DN WS Max Gen 10yr 94 Base 10L,1,1
5955826,DN WS Max Gen 10yr 96 Base 20L,1,1
5967876,DN WS  Protect Hi-sheen Gen 90 10L,1,1
5967914,DN WS  Protect Hi-sheen Gen93 10L,1,1
5984144,DN SAT FIN 93 GEN  BASE 0.925L,1,1
5984147,DN SAT FIN 93 GEN BASE 18.5L,1,1
5984149,DN GLOSS 93 GEN BASE 3.7L,1,1
5984153,DN SATIN STAY BRIGHT 93 GEN BASE 0.925L,1,1
5984277,DN PROMISE EXTERIOR 93 Gen BASE 9.25L,1,1
5990188,PS WS TR E2000 93 base 0.925L,1,1
6048014,BAG (STROLLEY BAG),1,1
6048072,MIXER GRAINDER,1,1
6314469,First 1 TX (12C),1,1
6384907,3 Burner Glass Cooktop,1,1
6409676,Backpack,1,1
6416338,First1 LX 12-OS,1,1
6416339,Shaker 20 ltr PHOENIX-OS,1,1
6426729,Philips Induction Cooktop,1,1
6427173,1.5 TON AC SPLIT,1,1
6427959,Apple IPad,1,1
6432064,BRANDED STROLLY BAG,1,1
6432071,Philips Multimedia speaker system,1,1
6434601,Branded LED TV 55,1,1
6438152,Kitchen Chimney Branded,1,1
6453741,Desktop,1,1
6457578,"Dulux Smart Brush Double 4"" South",1,1
6474027,Electric Food Warner,1,1
IN11006663,AI DSA Blending Clear 400ML,1,1
IN11029063,AS Auto Star White Base 400ML,1,1
IN19902172,AS Auto Star Racing Blue 1L,1,1
IN19903772,AS Auto Star Crystal White 1LT,1,1
IN19905272,AI Auto Star Bianco 1L,1,1
IN19908472,AS Auto Star New Superior White 1L,1,1
IN19908672,AI Auto Star Maximo Diamond White 1L,1,1
IN32304372,WAN PU PS GREY IN 1L,1,1
IN37750299,IP HEROMIX GYROSCOPIC MIXER,1,1
IN44709023,PS WS UltraClean White Base 1L,1,1
IN44709481,PS WS UltraClean Accent Base 18L,1,1
IN45100081,DN WS PROJ BRILLIANT WHITE 20LT,1,1
IN46250023,PS WS Elastomeric Brilliant White 1L,1,1
IN46259223,PS WS Elastomeric Intermediate Base 0.9L,1,1
IN51000372,WAN EASY BC MM 510003 IN 1L,1,1
IN51000472,WAN EASY BC MM 510004 IN 1L,1,1
IN51000672,WN WE Toner med bright aluminium 1L,1,1
IN51000872,WAN EASY BC MM 510008 IN 1L,1,1
IN51008872,WAN EASY BC MM 510088 IN 1L,1,1
IN51012172,WAN EASY BC MM 510121 IN 1L,1,1
IN51012272,WAN EASY BC MM 510122 IN 1L,1,1
IN51014072,WAN EASY TC 510140 IN 1L,1,1
IN51016072,WAN EASY TC 510160 IN 1L,1,1
IN51045472,WAN EASY TC 510454 IN 1L,1,1
IN51056572,WAN EASY TC 510565 IN 1L,1,1
IN51071172,WAN EASY BC MM 510711 IN 1L,1,1
IN60000672,DO Duco Thinner 1L,1,1
IN61112072,WN Wanda Basecoat SB 3120 1L,1,1
IN61120372,WN Wanda Basecoat SB 3203 1L,1,1
IN61120672,WN Wanda Basecoat SB 3206 1L,1,1
IN61123272,WN Wanda Basecoat SB 3232 1L,1,1
IN61123672,WN Wanda Basecoat SB 3236 1L,1,1
IN61124872,WN Wanda Basecoat SB 3248 1L,1,1
IN61145672,WN Wanda Basecoat SB 3456 1L,1,1
IN61162472,WN Wanda Basecoat SB 3624 1L,1,1
IN61191072,WN Wanda Basecoat SB 3910 1L,1,1
IN61192072,WN Wanda Basecoat SB 3920 1L,1,1
IN61192372,WN Wanda Basecoat SB 3923 1L,1,1
IN61192472,WN Wanda Basecoat SB 3924 1L,1,1
IN61192672,WN Wanda Basecoat SB 3926 1L,1,1
IN61195272,WN Wanda Basecoat SB 3952 1L,1,1
IN61195472,WN Wanda Basecoat SB 3954 1L,1,1
IN61196272,WN Wanda Basecoat SB 3962 1L,1,1
IN70069081,DN WS MAX Generic Tint WHITE BASE 20L,1,1
IN70110781,DN AE PROJ GEN TINT;BASE IN23609081,1,1
IN70129082,DN WB SATIN GENRIC TINT 1290 BASE 10L,1,1
IN70129272,DN WB SATIN GENRIC TINT 1292 BASE 1L,1,1
IN70250481,DN SAT FIN GENRIC TINT 0890 BASE 20L,1,1
IN70250671,DN SAT FIN GENRIC TINT 0894 BASE 4LT,1,1
IN70270171,DN GLOSS GENRIC TINT 0090 BASE 4LT,1,1
IN70909272,DN VT PLATINUM GLO GEN TINT 92 BASE 1L,1,1
