clusterId,bucketIstDay,billCount,obdNumbers,distinctSkusTogether_allMembers,distinctSkusSeparate_allMembers,savingPct_allMembers,cappedMemberCount,distinctSkusTogether_capped4,distinctSkusSeparate_capped4,savingPct_capped4,activeLineCount_allMembers,routes,windows,targetDates
W2-57,2026-07-29,9,9108585437;9108585438;9108526627;9108580742;9108580744;9108583219;9108583218;9108369293;9108586917,6,15,60.0,4,5,9,44.4,15,(unknown);Adajan;Ghod Dod;Varachha,(none);1;2,(none);2026-07-29;2026-07-30
W2-58,2026-07-29,9,9108554067;9108509916;9108561119;9108583217;9108561118;9108583216;9108560166;9108554070;9108554066,1,9,88.9,4,1,4,75.0,9,Adajan;Ghod Dod;Kamrej;Udhana,(none);1;2;4,(none);2026-07-29
W2-59,2026-07-16,8,9108276087;9108276089;9107921989;9107921986;9108321926;9108321925;9108302429;9108261779,17,36,52.8,4,16,26,38.5,36,Adajan;Bharuch;Navsari;Vapi;Varachha,1;3;4,2026-07-16;2026-07-17
W2-60,2026-07-09,8,9108193804;9108109043;9108109040;9108190803;9108190804;9108186914;9108109041;9108132976,30,37,18.9,4,30,33,9.1,37,Adajan;Ghod Dod,1;2;3,2026-07-09
W2-61,2026-08-11,8,9108851202;9108829820;9108829818;9108805651;9108828205;9108718898;9108845901;9108839307,30,38,21.1,4,28,30,6.7,39,Adajan;Ghod Dod,1;2;3,2026-08-11;2026-08-12
W2-62,2026-07-30,8,9108592730;9108609001;9108607810;9108590187;9108571891;9108502987;9108602123;9108613012,7,19,63.2,4,7,13,46.2,20,Adajan;Ghod Dod;Udhana;Vapi,1;2;3;4,2026-07-30;2026-07-31
W2-63,2026-06-22,8,9107824806;9107836302;9107213981;9107727615;9107835829;9107835509;9107831006;9107814148,1,8,87.5,4,1,4,75.0,8,Bharuch,(none),(none)
W2-64,2026-07-02,8,9108005663;9107853299;9108047808;9108039115;9108039117;9108015775;9108015774;9108039327,31,49,36.7,4,30,36,16.7,50,(unknown);Adajan;Bardoli;Vapi,(none);4,(none);2026-07-03
W2-65,2026-08-04,8,9108646446;9108629675;9108646132;9108341256;9108646448;9108646897;9108646447;9108696507,8,16,50.0,4,4,7,42.9,16,Adajan;Ghod Dod,1;2;3,2026-08-04;2026-08-05
W2-66,2026-07-28,8,9108478558;9108544645;9108513255;9108559924;9107379597;9107379598;9108540652;9108374291,26,35,25.7,4,23,28,17.9,35,Adajan;Bharuch;Ghod Dod;Kamrej;Varachha,(none);1;2;3;4,(none);2026-07-28;2026-07-29
