category,product,baseColour,sku_count,example_description
EMULSION,WS METALLIC,GOLD,3,DN WS METALLIC GOLD 0.5L
EMULSION,WS METALLIC,SILVER,3,DN WS METALLIC SILVER 0.5L
FLOOR PLUS,FLOOR PLUS,93 BASE,1,Dulux WS Floorplus 93 Base 10 ltr
FLOOR PLUS,FLOOR PLUS,BLACK,4,DULUX FLOORPLUS BLACK 10L
FLOOR PLUS,FLOOR PLUS,BRILLIANT WHITE,2,DULUX FLOORPLUS WHITE 1L
FLOOR PLUS,FLOOR PLUS,FOREST GREEN,2,DULUX FLOORPLUS FOREST GREEN 1L
FLOOR PLUS,FLOOR PLUS,GOLDEN YELLOW,3,DULUX FLOORPLUS GOLDEN YELLOW 10L
FLOOR PLUS,FLOOR PLUS,GUN GREY,3,DULUX FLOORPLUS GUN GREY 10L
FLOOR PLUS,FLOOR PLUS,PAVER GREY,3,DULUX FLOORPLUS PAVER GREY 10L
FLOOR PLUS,FLOOR PLUS,PEACOCK BLUE,3,DULUX FLOORPLUS PEACOCK BLUE 10L
FLOOR PLUS,FLOOR PLUS,PO RED,2,DULUX FLOORPLUS PO RED 1L
FLOOR PLUS,FLOOR PLUS,SIGNAL RED,3,DULUX FLOORPLUS SIGNAL RED 10L
FLOOR PLUS,FLOOR PLUS,SIGNAL RED PLUS,2,DULUX FLOORPLUS SIGNAL RED PLUS 1L
FLOOR PLUS,FLOOR PLUS,TERACOTTA,3,DULUX FLOORPLUS TERRACOTTA 10L
FLOOR PLUS,FLOOR PLUS,WHITE,2,Dulux WS Floorplus White 10ltr
GLOSS,GLOSS,90 BASE,5,DN GLOSS WHITE BASE NEW 10L
GLOSS,GLOSS,92 BASE,5,DN GLOSS INTERMEDIATE BASE NEW 0.9L
GLOSS,GLOSS,93 BASE,4,DN DULUX GLOSS 93 BASE 18.5L
GLOSS,GLOSS,94 BASE,3,DN GLOSS ACCENT BASE 1L
GLOSS,GLOSS,AQUAMARINE,3,DN GLOSS AQUAMARINE 1LT
GLOSS,GLOSS,BLACK,7,DN GLOSS BLACK 100ML
GLOSS,GLOSS,BLAZING WHITE,5,DN GLOSS BLAZING WHITE 10L
GLOSS,GLOSS,BRILLIANT WHITE,7,DN GLOSS BRILLIANT WHITE 100ML
GLOSS,GLOSS,BUS GREEN,6,DN GLOSS BUS GREEN 100ML
GLOSS,GLOSS,CASCADE GREEN,2,DN GLOSS CASCADE GREEN 1LT
GLOSS,GLOSS,CHERRY,3,DN GLOSS CHERRY 1L
GLOSS,GLOSS,CLASSIC WHITE,5,DN GLOSS CLASSIC WHITE 10LT
GLOSS,GLOSS,DA GREY,4,DN GLOSS DA GREY 1L
GLOSS,GLOSS,DARK BROWN,7,DN GLOSS DARK BROWN 100ML
GLOSS,GLOSS,DAWN,4,DN GLOSS DAWN 1LT
GLOSS,GLOSS,DEEP GREEN,3,DN GLOSS DEEP GREEN 1LT
GLOSS,GLOSS,DEEP ORANGE,4,DN GLOSS DEEP ORANGE 1L
