proposedFamily,proposedTab,tabSeq,proposedBrandLine,brandSeq,proposedProduct,proposedBase,proposedDisplayName,proposedSearchTokens,material,description,pack,isPrimary,currentHydration,note
SADOLIN,Gloss,1,PU PRIME,4,PU PRIME GLOSS,White,Pu Prime Gloss - White,"PU PRIME GLOSS,PUPRIME,SADOLIN,WOODCARE,WHITE",5826216,DN SADOLIN PU PRIME WHITE GLOSS 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,90 Base,Luxurio Gloss - 90 Base,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,90 BASE",5841511,DPP-SADOLIN LUXURIOPUGLOSS BAS90 WHT 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,90 Base,Luxurio Gloss - 90 Base,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,90 BASE",5841512,DPP-SADOLIN LUXURIOPUGLOSS BAS90 WHT 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,93 Base,Luxurio Gloss - 93 Base,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,93 BASE",5841517,DN SADOLIN LUXURIO PU GLOSS 93 BASE 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,93 Base,Luxurio Gloss - 93 Base,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,93 BASE",5841668,DN SADOLIN LUXURIO PU GLOSS 93 BASE 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,Black,Luxurio Gloss - Black,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,BLACK",5794055,DN SADOLIN LUXURIO PU GLOSS BLACK 40L,40L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,Clear,Luxurio Gloss - Clear,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600828,DN SADOLIN LUXURIO PU GLOSS 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,Clear,Luxurio Gloss - Clear,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,CLEAR",5600831,DN SADOLIN LUXURIO PU GLOSS 4L,4L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,White,Luxurio Gloss - White,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,WHITE",5794044,DN SADOLIN LUXURIO PU GLOSS WHITE 1L,1L,true,CROSS-LINK,
SADOLIN,Gloss,1,LUXURIO,5,LUXURIO GLOSS,White,Luxurio Gloss - White,"LUXURIO GLOSS,LUXURIO,SADOLIN,WOODCARE,WHITE",5794046,DN SADOLIN LUXURIO PU GLOSS WHITE 40L,40L,true,CROSS-LINK,
SADOLIN,Gloss,1,MELAMINE,6,MELAMINE GLOSS,Clear,Melamine Gloss - Clear,"MELAMINE GLOSS,SADOLIN,WOODCARE",IN35200571,DN SADOLIN INT CLR MELAMINE GLOSS 4L,4L,true,OK,
SADOLIN,Gloss,1,MELAMINE,6,MELAMINE GLOSS,Clear,Melamine Gloss - Clear,"MELAMINE GLOSS,SADOLIN,WOODCARE",IN35200572,DN SADOLIN INT CLR MELAMINE GLOSS 1L,1L,true,OK,
SADOLIN,Gloss,1,MELAMINE,6,MELAMINE GLOSS,Clear,Melamine Gloss - Clear,"MELAMINE GLOSS,SADOLIN,WOODCARE",IN35200581,DN SADOLIN INT CLR MELAMINE GLOSS 20L,20L,true,OK,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,90 Base,2K Pu Matt - 90 Base,"2K PU MATT,2KPU,SADOLIN,WOODCARE,90 BASE",5841676,DPP-SADOLIN 2KPU MATT BAS90 WHT 1L,1L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,90 Base,2K Pu Matt - 90 Base,"2K PU MATT,2KPU,SADOLIN,WOODCARE,90 BASE",5841677,DPP-SADOLIN 2KPU MATT BAS90 WHT 4L,4L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,90 Base,2K Pu Matt - 90 Base,"2K PU MATT,2KPU,SADOLIN,WOODCARE,90 BASE",5841678,DPP-SADOLIN 2KPU MATT BAS90 WHT 20L,20L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,93 Base,2K Pu Matt - 93 Base,"2K PU MATT,2KPU,SADOLIN,WOODCARE,93 BASE",5841682,DN SADOLIN 2KPU MATT 93 BASE 1L,1L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,93 Base,2K Pu Matt - 93 Base,"2K PU MATT,2KPU,SADOLIN,WOODCARE,93 BASE",5841683,DN SADOLIN 2KPU MATT 93 BASE 4L,4L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,93 Base,2K Pu Matt - 93 Base,"2K PU MATT,2KPU,SADOLIN,WOODCARE,93 BASE",5841684,DN SADOLIN 2KPU MATT 93 BASE 20L,20L,true,POOLED,
SADOLIN,Matt,2,2K PU,2,2K PU MATT,Exterior Clear,2K Pu Matt - Exterior Clear,"2K PU MATT,2KPU,SADOLIN,WOODCARE,EXTERIOR CLEAR",IN35201271,DN SADOLIN EXTERIOR CLR 2KPU MATT 4L,4L,true,POOLED,
