areaId,areaName,deliveryTypeName,routeId,routeName,activeFlag
244,Palanpur,Local,9,Adajan,true
245,CHHAPRABHATHA,Local,8,Varachha,true
246,Mogra,Cross,18,IGT / CROSS,true
247,Palej,Upcountry,17,Bharuch,true
248,DEVADHGAM,Upcountry,7,Udhana,true
249,Burdwan,Cross,18,IGT / CROSS,true
250,Palsana,Upcountry,11,Navsari,true
251,Bhatpor,Upcountry,9,Adajan,true
252,Panas,Local,6,Ghod Dod,true
253,KALGAM,Upcountry,12,Vapi,true
254,Pandesara,Local,7,Udhana,true
255,Isroli,Upcountry,14,Bardoli,true
256,Panikhadak,Upcountry,12,Vapi,true
257,Pardi,Upcountry,12,Vapi,true
258,Okha,Cross,18,IGT / CROSS,true
259,Parle Point,Local,6,Ghod Dod,true
260,Parvat,Local,5,Parvat,true
261,JIAV BUDIYA,Upcountry,11,Navsari,true
262,Parvat Patia,Local,5,Parvat,true
263,BHATIYA,Cross,18,IGT / CROSS,true
264,Pasodara,Upcountry,19,Kamrej,true
265,Abrama,Upcountry,21,Chikhli,true
266,Latur,Cross,18,IGT / CROSS,true
267,Patiala,Cross,18,IGT / CROSS,true
268,Khara Abrama,Upcountry,21,Chikhli,true
269,Sikar,Cross,18,IGT / CROSS,true
270,Piplod,Local,6,Ghod Dod,true
271,Puna Jakat Naka,Local,8,Varachha,true
272,Puna Patiya,Local,5,Parvat,true
273,Punagam,Local,8,Varachha,true
274,Ropar-Punjab,IGT,18,IGT / CROSS,true
275,Raipur,Cross,18,IGT / CROSS,true
276,ENA,Upcountry,14,Bardoli,true
277,RajPardi,Upcountry,17,Bharuch,true
278,Rajpipla,Upcountry,17,Bharuch,true
279,DAHISAR,IGT,18,IGT / CROSS,true
280,Rampura,Local,8,Varachha,true
281,Rander,Local,9,Adajan,true
282,Rankuva,Upcountry,13,Vansda,true
283,Ring Road,Local,9,Adajan,true
284,Antroli,Upcountry,14,Bardoli,true
285,Paligam,Upcountry,11,Navsari,true
286,Rohtak,Cross,18,IGT / CROSS,true
287,Pune,Cross,18,IGT / CROSS,true
288,Sachin,Upcountry,11,Navsari,true
289,Amritsar,Cross,18,IGT / CROSS,true
290,Sagar,Cross,18,IGT / CROSS,true
291,Sagrampura,Local,9,Adajan,true
292,KERALA,Cross,18,IGT / CROSS,true
293,Athwalines,Local,6,Ghod Dod,true
294,Sangrur,Cross,18,IGT / CROSS,true
295,Bhathena,Local,7,Udhana,true
296,Sarigam,Upcountry,12,Vapi,true
297,Laldarwaja,Local,8,Varachha,true
298,Saroli,Local,5,Parvat,true
299,BARBODHAN,Upcountry,9,Adajan,true
300,Vedchha Paita,Upcountry,11,Navsari,true
301,Sarthana,Local,8,Varachha,true
302,BHESAN,Local,9,Adajan,true
303,Sayan,Upcountry,8,Varachha,true
304,Sevni,Upcountry,14,Bardoli,true
305,Silvassa,Upcountry,12,Vapi,true
306,Bhinar,Upcountry,13,Vansda,true
307,Simada,Local,8,Varachha,true
308,Singanpor,Local,8,Varachha,true
309,Valangam,Upcountry,14,Bardoli,true
310,Bharthana,Local,6,Ghod Dod,true
311,Solapur,Cross,18,IGT / CROSS,true
312,Variav,Local,8,Varachha,true
313,Songadh,Upcountry,14,Bardoli,true
314,Surat,Local,20,No Route,true
315,HALOL,Local,22,Transport,true
316,Surkhai,Upcountry,13,Vansda,true
317,KHANPUR-SEVNI,Upcountry,14,Bardoli,true
318,Tankal,Upcountry,13,Vansda,true
319,Parab,Upcountry,19,Kamrej,true
