--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Delivery  |ShPt  |SLoc|Dv|Sold-To Pt|Name of sold-to party |Ship-To|Name of the ship-to party|Ref. Doc. |DlvTy|ItCa|Item|Material  |Description                             |Delivery qty|     Volume| Net weight| Total Wght|Batch     |
|  9109179966|IN53  |2000|70|3447131   |PAYAL COLOUR WORLD    |3447131|PAYAL COLOUR WORLD       |1046789104|LF   |TAN | 001|IN43100068|PS Creation Sandtex HS 30 Kg            |          1 |        30 |        30 |    30.210 |C20260701 |
|  9109179967|IN53  |2000|70|106063    |Sara Paints           |106063 |Sara Paints              |1046789110|LF   |TAN |  10|5841676   |DPP-Sadolin 2KPU Matt BAS90 WHT 1L      |          0 |         0 |         0 |         0 |          |
|  9109179967|IN53  |2000|70|106063    |Sara Paints           |106063 |Sara Paints              |1046789110|LF   |TAN |  20|5841682   |DN Sadolin 2KPU Matt 93 Base 1L         |          0 |         0 |         0 |         0 |          |
|  9109179967|IN53  |2000|70|106063    |Sara Paints           |106063 |Sara Paints              |1046789110|LF   |TAN | 001|5841676   |DPP-Sadolin 2KPU Matt BAS90 WHT 1L      |         12 |        12 |        15 |    28.200 |C20260701 |
|  9109179967|IN53  |2000|70|106063    |Sara Paints           |106063 |Sara Paints              |1046789110|LF   |TAN | 002|5841682   |DN Sadolin 2KPU Matt 93 Base 1L         |          6 |         6 |     5.880 |    12.480 |C20260801 |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN |  10|IN28209072|DN GLOSS WHITE BASE NEW 1L              |          0 |         0 |         0 |         0 |          |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN |  20|IN28012272|DN GLOSS BLACK 1L                       |          0 |         0 |         0 |         0 |          |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN |  30|IN28912271|DN GLOSS DARK BROWN 4L                  |          0 |         0 |         0 |         0 |          |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN |  40|IN28079072|DN SAT FIN WHITE BASE-NEW 1LT           |          0 |         0 |         0 |         0 |          |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN |  50|IN28080172|DN SAT FIN BLACK 1LT                    |          0 |         0 |         0 |         0 |          |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN |  60|5948785   |DN PROMISE ENAMEL CLASSIC WHITE 1L      |          0 |         0 |         0 |         0 |          |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN | 001|IN28209072|DN GLOSS WHITE BASE NEW 1L              |         60 |        60 |    61.800 |    69.420 |C20260701 |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN | 002|IN28012272|DN GLOSS BLACK 1L                       |         30 |        30 |    27.300 |    32.250 |C20260801 |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN | 003|IN28912271|DN GLOSS DARK BROWN 4L                  |          7 |        28 |    26.600 |    30.352 |C20260601 |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN | 004|IN28912271|DN GLOSS DARK BROWN 4L                  |          1 |         4 |     3.800 |     4.336 |C20260701 |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN | 005|IN28079072|DN SAT FIN WHITE BASE-NEW 1LT           |         12 |        12 |    14.880 |    16.980 |C20260801 |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN | 006|IN28080172|DN SAT FIN BLACK 1LT                    |          6 |         6 |     6.900 |     7.830 |C20260801 |
|  9109179968|IN53  |2000|70|3219359   |Sneha Colour          |3219359|Sneha Colour             |1046789111|LF   |TAN | 007|5948785   |DN PROMISE ENAMEL CLASSIC WHITE 1L      |         30 |        30 |    30.900 |    34.650 |C20260801 |
|  9109179969|IN53  |2000|70|3039903   |LAXMI HARDWARE PLYWOO |3039903|LAXMI HARDWARE PLYWOOD & |1046789116|LF   |TAN |  10|5580864   |DN Aquatech Damp Protect Basecoat 1L    |          0 |         0 |         0 |         0 |          |
|  9109179969|IN53  |2000|70|3039903   |LAXMI HARDWARE PLYWOO |3039903|LAXMI HARDWARE PLYWOOD & |1046789116|LF   |TAN |  20|5577383   |DN Promise Sheen Interior Br White 1L   |          0 |         0 |         0 |         0 |          |
|  9109179969|IN53  |2000|70|3039903   |LAXMI HARDWARE PLYWOO |3039903|LAXMI HARDWARE PLYWOOD & |1046789116|LF   |TAN |  30|IN28012272|DN GLOSS BLACK 1L                       |          0 |         0 |         0 |         0 |          |
|  9109179969|IN53  |2000|70|3039903   |LAXMI HARDWARE PLYWOO |3039903|LAXMI HARDWARE PLYWOOD & |1046789116|LF   |TAN | 001|5580864   |DN Aquatech Damp Protect Basecoat 1L    |          4 |         4 |     4.880 |     5.120 |C20260601 |
|  9109179969|IN53  |2000|70|3039903   |LAXMI HARDWARE PLYWOO |3039903|LAXMI HARDWARE PLYWOOD & |1046789116|LF   |TAN | 002|5577383   |DN Promise Sheen Interior Br White 1L   |          4 |         4 |     5.400 |     5.800 |T20260701 |
|  9109179969|IN53  |2000|70|3039903   |LAXMI HARDWARE PLYWOO |3039903|LAXMI HARDWARE PLYWOOD & |1046789116|LF   |TAN | 003|IN28012272|DN GLOSS BLACK 1L                       |          6 |         6 |     5.460 |     6.450 |C20260801 |
|  9109179970|IN53  |2000|70|102425    |Mohan Colour Co       |102425 |Mohan Colour Co          |1046789127|LF   |TAN |  10|IN28129272|DN SATIN STAY BRIGHT INT. BASE 0.9L     |          0 |         0 |         0 |         0 |          |
|  9109179970|IN53  |2000|70|102425    |Mohan Colour Co       |102425 |Mohan Colour Co          |1046789127|LF   |TAN | 001|IN28129272|DN SATIN STAY BRIGHT INT. BASE 0.9L     |         18 |        18 |    21.780 |    23.760 |T20260801 |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  10|IN77009071|DN Aquatech FBC Advance 4L              |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  20|IN82000072|DN WTP Aquatech Roof Coat 1L            |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  30|IN82000071|DN WTP Aquatech Roof Coat 4L            |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  40|5882382   |DN WTP Aquatech Roof Coat 10L           |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  50|IN82000081|DN WTP Aquatech Roof Coat 20L           |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  60|5908363   |DN Aquatech Damp Protect 2in1 1L        |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  70|5908364   |DN Aquatech Damp Protect 2in1 4L        |          0 |         0 |         0 |         0 |          |
|  9109286776|IN53  |2000|70|111103    |AKSHAR MARBLE         |111103 |AKSHAR MARBLE            |1046790603|LF   |TAN |  80|9075187   |DN Aquatech Interior WBC New 1L         |          0 |         0 |         0 |         0 |          |
